Woulfe Blitzer	Tatum Bell (Den - RB) 
Woulfe Blitzer	Davone Bess (Mia - WR) 
Woulfe Blitzer	Ronnie Brown (Mia - RB) 
Woulfe Blitzer	Chris Cooley (Was - TE) 
Woulfe Blitzer	Braylon Edwards (Cle - WR) 
Woulfe Blitzer	Larry Fitzgerald (Ari - WR) 
Woulfe Blitzer	Calvin Johnson (Det - WR) 
Woulfe Blitzer	Thomas Jones (NYJ - RB) 
Woulfe Blitzer	Philip Rivers (SD - QB) 
Woulfe Blitzer	Matt Schaub (Hou - QB) 
Woulfe Blitzer	Ryan Torain (Den - RB) 
Woulfe Blitzer	LenDale White (Ten - RB) 
Woulfe Blitzer	Kris Brown (Hou - K) 
Woulfe Blitzer	Minnesota (Min - DEF) 
Woulfe Blitzer	San Francisco (SF - DEF)
Salt Bandits	Dwayne Bowe (KC - WR) 
Salt Bandits	Antonio Bryant (TB - WR) 
Salt Bandits	John Carlson (Sea - TE) 
Salt Bandits	Matt Hasselbeck (Sea - QB) 
Salt Bandits	DeSean Jackson (Phi - WR) 
Salt Bandits	Greg Jennings (GB - WR) 
Salt Bandits	Larry Johnson (KC - RB) 
Salt Bandits	Brandon Marshall (Den - WR) 
Salt Bandits	Adrian Peterson (Min - RB) 
Salt Bandits	Steve Slaton (Hou - RB) 
Salt Bandits	Kevin Smith (Det - RB) 
Salt Bandits	Seneca Wallace (Sea - QB) 
Salt Bandits	Carnell Williams (TB - RB)
Salt Bandits	Stephen Gostkowski (NE - K)
Salt Bandits	Philadelphia (Phi - DEF)
Boston Beast	Kevin Boss (NYG - TE) 
Boston Beast	Joshua Cribbs (Cle - WR) 
Boston Beast	Santonio Holmes (Pit - WR) 
Boston Beast	Andre Johnson (Hou - WR) 
Boston Beast	Dustin Keller (NYJ - TE) 
Boston Beast	Jamal Lewis (Cle - RB) 
Boston Beast	Derrick Mason (Bal - WR) 
Boston Beast	Ben Roethlisberger (Pit - QB) 
Boston Beast	Eddie Royal (Den - WR) 
Boston Beast	Matt Ryan (Atl - QB) 
Boston Beast	LaDainian Tomlinson (SD - RB) 
Boston Beast	DeAngelo Williams (Car - RB)
Boston Beast	Dan Carpenter (Mia - K)
Boston Beast	New York (NYG - DEF) 
Boston Beast	Pittsburgh (Pit - DEF)
CRACK	Donnie Avery (StL - WR) 
CRACK	Reggie Bush (NO - RB) 
CRACK	Jason Campbell (Was - QB) 
CRACK	Matt Cassel (KC - QB) 
CRACK	Marques Colston (NO - WR) 
CRACK	Anthony Gonzalez (Ind - WR) 
CRACK	Tim Hightower (Ari - RB) 
CRACK	Willis McGahee (Bal - RB) 
CRACK	Josh Morgan (SF - WR) 
CRACK	Terrell Owens (Buf - WR) 
CRACK	Bo Scaife (Ten - TE) 
CRACK	Kevin Walter (Hou - WR) 
CRACK	Selvin Young (Den - RB)
CRACK	Jason Elam (Atl - K)
CRACK	Baltimore (Bal - DEF)
baskett case	Correll Buckhalter (Den - RB) 
baskett case	Chris Chambers (SD - WR) 
baskett case	Kevin Curtis (Phi - WR) 
