CUSTOMER_ID,MKT_NUM,MAIN_TN,LISTING_TELNO,MAIN_LISTED_NAM,LISTING_NAME,POC_NAM,SIC_CODE,SIC_DESCRIPTION,ITEM_HEADG,SHORT_HEADING_NAME,STREET_ADDR,ADTNL_ADDR_INF,CITY_NAM,STATE_CDE,ZIP_CDE,UNIFIER_ID
2500195162,47524,2017445483,2016564722,Block H & R,H & R Block, ,8244,Service Education - Business and secretarial schools,2010931,SCHOOLS-BUSINESS,94  Hudson St,,,,,1.7E+14
2501159795,47524,9736940207,9736940207,Adirondack Tree Specialists Inc,Adirondack Tree Specialists Inc,WILLIAM BARLOW,783,Agricultural Services - Ornamental shrub and tree services,3002280,TREE STUMP REMOVAL SERVICE,,,Wayne,NJ,,4.3E+14
2501083625,47524,9733352020,9087227777,Alicia Dorman Optometrists,Dorman Alicia N Od,RITA BONI,8042,Service Health - Offices and clinics of optometrists,4000355,OPTOMETRISTS-O.D.,720  U S Hwy No 202-206,,Bridgewater Township,NJ,,1.7E+14
2501176547,47524,9738355401,9082342741,Gate House Frame Makers,Gate House Galleries,WALTER NOWATKA,5999,Ret Misc Retail Stores - Mfg Miscellaneous retail stores  nec,4000245,ART RESTORATION & CONSERVATION,1570  U,,Bedminster,NJ,,4.3E+14
2500343026,47524,9737776768,2014871333,Valley National Bank,Valley National Bank, ,6022,Banking - State commercial banks,60300,BANKS,325  Palisades Av,,Bogota,NJ,,1.7E+14
2500690571,47524,8005224100,9737439539,Valley National Bank,Valley National Bank,LEANNE KLEINMANNS,6022,Banking - State commercial banks,60300,BANKS,548  Broad,,Bloomingdale,NJ,,1.7E+14
2501084546,47524,9738387055,9738387055,Electronic Power Designs Inc,Electronic Power Designs Inc, ,8731,Service Engineering. Management - Commercial physical research,220300,ELECTRONICS RESEARCH DEVELOPMENT,132  Union Av,,Bloomingdale,NJ,,4.3E+14
2501152481,47524,9736339696,9734929696,Wayne Bedding,Wayne Bedding,JOSEPH MANITONE.,5963,Ret Misc Retail Stores - Direct selling establishments,274550,FURNITURE ,90  Main,,Bloomingdale,NJ,,4.3E+14
2501168387,47524,9738380174,9738380174,Glenwild Garden Center,Glenwild Garden Center,JODY BROSS,5984,Ret Misc Retail Stores - Liquefied petroleum gas dealers,4001011,LAWN GARDEN CENTERS,104  Glenwild Av,,Bloomingdale,NJ,,4.3E+14
2501168741,47524,9738381864,9738381864,R T Riccardo Inc,R T Riccardo Inc,RON RICCARDO,7389,Service Business Services - Business services  nec,518600,PLANTS INTERIOR DESIGN MAINTENANCE,72  Morse Lake Rd,,Bloomingdale,NJ,7403,4.3E+14
